ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm026962,-2.28786298,2.71329548,13.6547066,0.00102924,0.03281108
Funhe2EKm025005,0.626774205,3.36274396,13.3382564,0.00103021,0.03281108
Funhe2EKm017609,0.967839759,1.70313728,13.2824096,0.00105132,0.03337617
Funhe2EKm030390,1.040370371,3.38270801,13.2549433,0.00106292,0.03363657
Funhe2EKm028919,0.550606893,4.18820871,13.2136172,0.00107797,0.03400422
Funhe2EKm003508,-0.84248575,5.08446484,13.1969838,0.00108453,0.0341023
Funhe2EKm028371,-1.03400931,1.65075762,13.1827574,0.00109016,0.0341711
Funhe2EKm004707,1.228273004,6.05955146,13.2794866,0.00109385,0.03417844
Funhe2EKm027002,0.748179268,2.58420084,13.1085968,0.00112007,0.03488769
Funhe2EKm025451,0.818789293,6.16719864,13.0876141,0.00112869,0.03504601
Funhe2EKm027111,-1.74924631,2.11496021,13.1565733,0.00114627,0.03548075
Funhe2EKm010657,-0.96140588,3.53063962,13.0218372,0.00115618,0.03550964
Funhe2EKm001129,0.667279124,2.78484266,13.0095293,0.00116141,0.03550964
Funhe2EKm000222,1.002003393,1.98437318,13.0059727,0.00116292,0.03550964
Funhe2EKm022287,0.677120076,6.87760425,13.0044538,0.00116357,0.03550964
Funhe2EKm023552,0.876242667,3.33154579,13.0007854,0.00116513,0.03550964
Funhe2EKm033535,0.683000968,5.95738062,12.9806219,0.00117377,0.0356633
Funhe2EKm038720,0.584936732,4.35814627,12.9196894,0.00120031,0.03635814
Funhe2EKm033609,0.478626859,4.02464638,12.8749426,0.00122022,0.03684826
Funhe2EKm027800,-0.57531949,3.79559478,12.8379626,0.00123693,0.03723949
Funhe2EKm001107,0.552395856,4.54634737,12.7507448,0.00127734,0.03833949
Funhe2EKm037147,-0.93383976,1.73553384,12.7302685,0.00128703,0.0384029
Funhe2EKm037826,0.809822581,3.6166726,12.7250004,0.00128954,0.0384029
Funhe2EKm030951,-0.63223742,4.02518454,12.7217548,0.00129108,0.0384029
